Timestamp,Temperature,SoilMoisture,Humidity,Rainfall,LightIntensity,Source
2026-09-09 00:00:00,21.4,66.1,81.0,0.0,0,Farm
2026-09-09 01:00:00,22.3,66.5,80.4,0.0,5,Farm
2026-09-09 02:00:00,21.3,67.5,80.6,0.0,0,Farm
2026-09-09 03:00:00,21.9,68.4,76.4,0.0,29,Farm
2026-09-09 04:00:00,24.7,65.8,78.3,0.0,34,Farm
2026-09-09 05:00:00,24.6,65.7,73.8,0.0,0,Farm
2026-09-09 06:00:00,23.8,65.9,69.9,0.0,64,Farm
2026-09-09 07:00:00,26.2,61.1,72.8,0.0,216,Farm
2026-09-09 08:00:00,28.9,63.2,58.6,0.0,405,Farm
2026-09-09 09:00:00,30.2,62.8,63.2,0.0,591,Farm
2026-09-09 10:00:00,32.1,64.0,54.5,0.0,777,Farm
2026-09-09 11:00:00,32.3,62.1,59.2,0.0,765,Farm
2026-09-09 12:00:00,31.9,63.2,59.4,0.0,842,Farm
2026-09-09 13:00:00,33.5,63.3,57.0,0.0,740,Farm
2026-09-09 14:00:00,33.0,61.5,61.4,0.0,719,Farm
2026-09-09 15:00:00,29.9,61.4,58.6,0.0,684,Farm
2026-09-09 16:00:00,30.6,62.3,65.8,0.0,400,Farm
2026-09-09 17:00:00,30.3,60.1,65.7,0.0,229,Farm
2026-09-09 18:00:00,28.8,61.3,67.8,3.2,0,Farm
2026-09-09 19:00:00,27.0,66.6,74.3,7.8,0,Farm
2026-09-09 20:00:00,25.8,63.6,76.2,2.4,0,Farm
2026-09-09 21:00:00,23.4,59.4,75.6,0.0,19,Farm
2026-09-09 22:00:00,23.5,57.9,80.7,0.0,0,Farm
2026-09-09 23:00:00,21.1,59.9,79.7,0.0,0,Farm
2026-09-10 00:00:00,22.3,56.3,80.8,0.0,18,Farm
2026-09-10 01:00:00,21.0,56.7,76.4,0.0,0,Farm
2026-09-10 02:00:00,21.9,59.7,75.4,0.0,0,Farm
2026-09-10 03:00:00,21.7,53.5,61.9,4.6,37,Farm
2026-09-10 04:00:00,22.9,56.1,77.1,0.0,0,Farm
2026-09-10 05:00:00,24.1,57.4,68.7,0.0,0,Farm
2026-09-10 06:00:00,25.8,56.8,67.8,0.0,0,Farm
2026-09-10 07:00:00,26.9,53.7,67.7,0.0,250,Farm
2026-09-10 08:00:00,27.5,55.0,64.9,0.0,432,Farm
2026-09-10 09:00:00,29.1,53.0,61.0,0.0,612,Farm
2026-09-10 10:00:00,37.5,52.8,57.4,0.0,817,Farm
2026-09-10 11:00:00,38.0,52.9,57.0,0.0,774,Farm
2026-09-10 12:00:00,37.4,53.6,57.7,0.0,884,Farm
2026-09-10 13:00:00,32.7,51.0,56.6,0.0,855,Farm
2026-09-10 14:00:00,32.2,51.3,60.0,0.0,703,Farm
2026-09-10 15:00:00,31.8,50.0,61.4,0.0,126,Farm
2026-09-10 16:00:00,31.7,51.0,64.1,0.0,54,Farm
2026-09-10 17:00:00,29.3,52.1,70.2,0.0,195,Farm
2026-09-10 18:00:00,27.8,49.7,65.4,0.0,42,Farm
2026-09-10 19:00:00,26.7,49.4,69.5,0.0,0,Farm
2026-09-10 20:00:00,25.8,48.7,88.1,0.0,51,Farm
2026-09-10 21:00:00,24.3,48.4,94.3,0.0,0,Farm
2026-09-10 22:00:00,22.9,47.7,92.8,0.0,42,Farm
2026-09-10 23:00:00,21.6,49.7,76.7,0.0,39,Farm
2026-09-11 00:00:00,21.9,45.9,84.0,0.0,33,Farm
2026-09-11 01:00:00,22.0,48.6,78.9,1.8,0,Farm
2026-09-11 02:00:00,21.3,50.9,81.1,5.5,0,Farm
2026-09-11 03:00:00,21.6,51.8,75.7,3.1,0,Farm
2026-09-11 04:00:00,22.7,49.0,77.1,0.0,16,Farm
2026-09-11 05:00:00,24.2,47.4,73.6,0.0,13,Farm
2026-09-11 06:00:00,25.1,43.5,69.6,0.0,37,Farm
2026-09-11 07:00:00,27.7,47.7,65.6,0.0,227,Farm
2026-09-11 08:00:00,29.4,45.6,62.4,0.0,443,Farm
2026-09-11 09:00:00,30.0,43.6,59.6,0.0,617,Farm
